iter	Passed	Remaining
0	2	2367
1	4	2049
2	5	1879
3	7	1868
4	9	1907
5	11	1865
6	13	1866
7	15	1876
8	16	1841
9	18	1808
10	20	1828
11	22	1846
12	24	1830
13	26	1834
14	28	1852
15	29	1836
16	31	1808
17	32	1797
18	35	1807
19	36	1796
20	38	1806
21	41	1823
22	42	1814
23	44	1804
24	46	1812
25	48	1810
26	49	1796
27	51	1779
28	53	1786
29	55	1796
30	57	1790
31	59	1798
32	61	1797
33	62	1785
34	64	1777
35	66	1776
36	68	1773
37	69	1766
38	71	1763
39	73	1765
40	75	1761
41	76	1753
42	78	1754
43	80	1749
44	81	1738
45	83	1726
46	84	1721
47	86	1721
48	88	1715
49	89	1709
50	91	1710
51	93	1707
52	94	1696
53	96	1688
54	98	1687
55	99	1683
56	101	1679
57	103	1674
58	105	1687
59	107	1687
60	109	1683
61	111	1684
62	113	1683
63	115	1684
64	117	1683
65	119	1686
66	120	1683
67	122	1678
68	124	1685
69	126	1684
70	128	1679
71	130	1678
72	132	1680
73	134	1682
74	136	1680
75	138	1681
76	140	1684
77	142	1679
78	144	1680
79	146	1682
80	147	1677
81	149	1676
82	151	1674
83	153	1669
84	154	1663
85	156	1663
86	158	1664
87	160	1661
88	162	1662
89	164	1661
90	166	1658
91	167	1653
92	169	1652
93	171	1650
94	172	1646
95	174	1643
96	176	1643
97	178	1642
98	179	1637
99	181	1636
100	184	1640
101	185	1636
102	187	1634
103	189	1635
104	191	1633
105	193	1628
106	194	1625
107	196	1624
108	198	1620
109	199	1615
110	201	1613
111	203	1612
112	205	1609
113	206	1605
114	208	1605
115	210	1603
116	211	1598
117	213	1593
118	214	1591
119	216	1589
120	218	1586
121	219	1582
122	221	1582
123	223	1581
124	225	1577
125	226	1572
126	228	1571
127	230	1571
128	232	1567
129	233	1563
130	235	1563
131	237	1560
132	238	1556
133	240	1552
134	242	1553
135	244	1550
136	245	1546
137	247	1543
138	248	1541
139	250	1538
140	252	1535
141	253	1533
142	255	1533
143	257	1529
144	258	1525
145	260	1522
146	262	1521
147	263	1518
148	265	1515
149	266	1512
150	268	1512
151	270	1509
152	272	1507
153	274	1507
154	276	1505
155	277	1501
156	278	1496
157	280	1494
158	282	1492
159	283	1489
160	284	1485
161	286	1481
162	288	1480
163	290	1478
164	291	1476
165	293	1474
166	295	1472
167	296	1470
168	298	1467
169	300	1465
170	302	1464
171	303	1461
172	305	1458
173	306	1456
174	309	1456
175	310	1454
176	312	1451
177	314	1450
178	315	1448
179	317	1445
180	318	1443
181	320	1441
182	322	1439
183	323	1436
184	325	1432
185	327	1431
186	328	1429
187	330	1427
188	332	1425
189	334	1424
190	335	1422
191	337	1418
192	338	1415
193	340	1414
194	341	1411
195	343	1408
196	344	1404
197	346	1403
198	347	1400
199	349	1397
200	350	1393
201	352	1391
202	354	1390
203	355	1388
204	357	1385
205	359	1384
206	361	1382
207	362	1379
208	363	1376
209	365	1374
210	367	1372
211	368	1369
212	369	1366
213	371	1363
214	373	1362
215	374	1359
216	376	1356
217	377	1353
218	379	1351
219	380	1350
220	382	1347
221	383	1345
222	385	1343
223	387	1341
224	388	1339
225	390	1336
226	392	1335
227	393	1332
228	395	1329
229	396	1326
230	397	1324
231	399	1323
232	401	1320
233	402	1317
234	403	1314
235	406	1316
236	408	1314
237	409	1311
238	411	1310
239	413	1308
240	414	1306
241	416	1303
242	417	1301
243	419	1299
244	420	1296
245	422	1293
246	423	1291
247	425	1290
248	426	1287
249	428	1284
250	429	1282
251	431	1281
252	433	1278
253	434	1276
254	435	1273
255	437	1272
256	439	1270
257	441	1268
258	442	1266
259	444	1265
260	446	1263
261	447	1260
262	448	1257
263	450	1255
264	452	1254
265	453	1251
266	455	1249
267	456	1247
268	458	1246
269	460	1244
270	461	1241
271	462	1238
272	464	1237
273	466	1235
274	467	1232
275	468	1230
276	470	1228
277	472	1225
278	473	1223
279	474	1220
280	476	1218
281	477	1216
282	479	1214
283	480	1212
284	483	1211
285	484	1210
286	486	1208
287	487	1206
288	489	1203
289	491	1202
290	492	1200
291	494	1197
292	495	1195
293	497	1194
294	498	1192
295	500	1189
296	501	1187
297	503	1185
298	504	1183
299	506	1180
300	507	1178
301	508	1175
302	510	1174
303	511	1171
304	513	1169
305	514	1167
306	516	1166
307	518	1164
308	519	1162
309	521	1161
310	523	1159
311	525	1158
312	526	1155
313	527	1153
314	529	1151
315	531	1149
316	532	1147
317	534	1145
318	535	1143
319	537	1141
320	538	1139
321	540	1137
322	541	1134
323	543	1133
324	544	1131
325	546	1128
326	547	1126
327	549	1124
328	550	1122
329	551	1120
330	553	1118
331	554	1115
332	556	1114
333	558	1113
334	559	1110
335	561	1108
336	562	1107
337	564	1104
338	565	1102
339	566	1099
340	567	1097
341	569	1096
342	571	1094
343	572	1092
344	574	1090
345	576	1089
346	578	1088
347	579	1085
348	580	1083
349	582	1082
350	584	1080
351	585	1078
352	587	1075
353	588	1074
354	590	1072
355	591	1070
356	593	1068
357	594	1066
358	596	1064
359	597	1062
360	598	1060
361	600	1058
362	601	1056
363	603	1054
364	604	1052
365	606	1050
366	607	1048
367	609	1046
368	610	1044
369	611	1041
370	613	1040
371	615	1038
372	616	1036
373	617	1033
374	619	1031
375	620	1029
376	622	1028
377	623	1026
378	624	1023
379	626	1021
380	627	1020
381	629	1018
382	632	1018
383	634	1017
384	636	1016
385	637	1014
386	639	1013
387	641	1012
388	643	1010
389	644	1008
390	646	1006
391	647	1004
392	649	1003
393	651	1001
394	653	1000
395	654	998
396	656	997
397	658	995
398	659	993
399	661	992
400	663	991
401	664	988
402	666	986
403	667	984
404	669	983
405	670	981
406	672	979
407	673	977
408	675	976
409	676	974
410	678	971
411	679	970
412	681	968
413	682	966
414	684	964
415	685	962
416	687	960
417	688	958
418	689	956
419	691	954
420	692	952
421	694	950
422	695	948
423	696	946
424	698	944
425	699	942
426	701	941
427	702	939
428	703	936
429	705	934
430	706	932
431	708	931
432	709	929
433	710	927
434	712	925
435	713	923
436	715	921
437	716	919
438	717	917
439	719	915
440	720	913
441	722	912
442	724	910
443	725	908
444	727	907
445	728	905
446	730	903
447	731	901
448	733	900
449	734	898
450	736	896
451	737	894
452	738	892
453	740	890
454	741	888
455	743	886
456	744	884
457	746	882
458	747	881
459	749	879
460	750	877
461	751	875
462	753	873
463	755	872
464	756	870
465	758	869
466	759	867
467	761	865
468	762	863
469	764	861
470	765	859
471	767	858
472	768	856
473	769	854
474	771	852
475	772	850
476	774	848
477	775	846
478	777	845
479	778	843
480	780	841
481	781	840
482	783	838
483	784	836
484	786	834
485	787	833
486	789	831
487	790	829
488	792	827
489	793	826
490	795	824
491	796	822
492	798	821
493	800	819
494	802	818
495	803	816
496	805	815
497	807	814
498	809	812
499	810	810
500	812	809
501	814	807
502	815	806
503	817	804
504	819	802
505	821	801
506	823	800
507	825	799
508	827	798
509	829	796
510	830	795
511	832	793
512	834	791
513	835	790
514	837	788
515	838	786
516	840	785
517	841	783
518	843	781
519	845	780
520	846	778
521	848	776
522	849	774
523	850	772
524	852	771
525	854	769
526	855	768
527	857	766
528	858	764
529	860	762
530	861	761
531	862	759
532	864	757
533	866	755
534	868	754
535	870	753
536	871	751
537	873	749
538	874	748
539	875	746
540	877	744
541	878	742
542	880	741
543	881	739
544	883	737
545	884	735
546	886	733
547	887	732
548	888	730
549	890	728
550	891	726
551	893	724
552	894	723
553	895	721
554	897	719
555	899	717
556	900	716
557	901	714
558	903	712
559	904	710
560	906	709
561	907	707
562	909	705
563	910	703
564	912	702
565	913	700
566	915	698
567	916	697
568	918	695
569	920	694
570	921	692
571	922	690
572	924	688
573	926	687
574	927	685
575	929	684
576	930	682
577	932	680
578	933	679
579	935	677
580	936	675
581	938	673
582	939	672
583	941	670
584	942	668
585	943	666
586	945	665
587	946	663
588	948	661
589	949	659
590	950	658
591	952	656
592	954	654
593	955	653
594	956	651
595	958	649
596	960	648
597	961	646
598	962	644
599	964	642
600	966	641
601	967	639
602	969	637
603	970	636
604	972	634
605	973	632
606	974	631
607	976	629
608	978	627
609	979	626
610	981	624
611	982	623
612	984	621
613	986	620
614	987	618
615	989	616
616	991	615
617	993	613
618	994	612
619	996	610
620	998	609
621	999	607
622	1001	606
623	1003	604
624	1004	602
625	1006	601
626	1008	599
627	1009	598
628	1011	596
629	1013	594
630	1014	593
631	1016	591
632	1018	590
633	1020	589
634	1021	587
635	1023	585
636	1025	584
637	1026	582
638	1028	581
639	1030	579
640	1031	577
641	1033	576
642	1034	574
643	1036	572
644	1037	571
645	1039	569
646	1041	567
647	1042	566
648	1044	565
649	1046	563
650	1048	562
651	1049	560
652	1051	558
653	1053	557
654	1055	555
655	1057	554
656	1058	552
657	1060	551
658	1061	549
659	1063	547
660	1065	546
661	1066	544
662	1068	543
663	1070	541
664	1071	539
665	1073	538
666	1075	536
667	1077	535
668	1079	533
669	1080	532
670	1082	530
671	1083	529
672	1085	527
673	1087	525
674	1088	524
675	1090	522
676	1092	521
677	1093	519
678	1095	517
679	1097	516
680	1099	514
681	1100	513
682	1102	511
683	1104	510
684	1106	508
685	1108	507
686	1110	505
687	1111	504
688	1113	502
689	1115	501
